issue_type,candidate_id,source,google_id,source_id,human_label,predicted_label,score,detail
er_misclassification,ChIJnyLl4MPBhkcRBeZjvaozqns:833887,thefork,ChIJnyLl4MPBhkcRBeZjvaozqns,833887,MATCH,UNCERTAIN,0.9064215472621304,Predicted label disagrees with strict human label.
er_misclassification,ChIJZei3VkjAhkcRsmm4zLQFEF0:821705,thefork,ChIJZei3VkjAhkcRsmm4zLQFEF0,821705,MATCH,UNCERTAIN,0.939759516968185,Predicted label disagrees with strict human label.
er_misclassification,ChIJGf_1j0DBhkcRLdYET604ABI:826264,thefork,ChIJGf_1j0DBhkcRLdYET604ABI,826264,NON_MATCH,UNCERTAIN,0.7653321679946062,Predicted label disagrees with strict human label.
er_misclassification,ChIJc-noDeHBhkcRSQr4az6BPQo:508365,thefork,ChIJc-noDeHBhkcRSQr4az6BPQo,508365,NON_MATCH,UNCERTAIN,0.918125145286338,Predicted label disagrees with strict human label.
er_misclassification,ChIJMfKmcHLBhkcRD8vzlwZoyQM:464519,thefork,ChIJMfKmcHLBhkcRD8vzlwZoyQM,464519,NON_MATCH,UNCERTAIN,0.7602909712626914,Predicted label disagrees with strict human label.
er_misclassification,ChIJ6WCAm7nrhkcRI8mS4MCxT8s:823893,thefork,ChIJ6WCAm7nrhkcRI8mS4MCxT8s,823893,NON_MATCH,UNCERTAIN,0.7798876961968585,Predicted label disagrees with strict human label.
er_misclassification,ChIJ0QonyLLFhkcRmu8TUvTzQXU:584359,thefork,ChIJ0QonyLLFhkcRmu8TUvTzQXU,584359,MATCH,UNCERTAIN,0.8884481285519513,Predicted label disagrees with strict human label.
er_misclassification,ChIJh2MHeQTEhkcRfV_H2lJPLX4:848643,thefork,ChIJh2MHeQTEhkcRfV_H2lJPLX4,848643,MATCH,UNCERTAIN,0.8860244888450254,Predicted label disagrees with strict human label.
er_misclassification,ChIJxXdKcBnFhkcRGlkvrjwP1eQ:859135,thefork,ChIJxXdKcBnFhkcRGlkvrjwP1eQ,859135,MATCH,UNCERTAIN,0.8989404396765096,Predicted label disagrees with strict human label.
er_misclassification,ChIJ95anbiPEhkcRDGcIaJ-HIHs:304529,thefork,ChIJ95anbiPEhkcRDGcIaJ-HIHs,304529,MATCH,UNCERTAIN,0.861111111110558,Predicted label disagrees with strict human label.
